量比选股 — 2026-05-19 15:00
============================================================
阈值: 量比 > 2.0
总数: 180 只

      代码  名称              价格       涨幅%        量比
──────────────────────────────────────────────────
  688360  德马科技         24.18     20.00       7.3
  920718  合肥高科         16.08     17.29       7.1
  301139  *ST元道         4.84    -20.00       5.6
  920199  倍益康          35.88     11.43       5.1
  002207  *ST准油        10.12      4.98       5.0
  300634  彩讯股份         29.15     20.01       4.6
  688292  浩瀚深度         27.74     12.99       4.6
  601198  东兴证券         13.47      5.23       4.6
  301078  孩子王           9.35      9.87       4.5
  688623  双元科技        106.01      9.89       4.5
  688507  索辰科技        152.30     18.04       4.4
  920690  捷众科技         29.78     13.79       4.4
  301380  挖金客          38.68      7.68       4.2
  301020  密封科技         25.84      8.75       4.2
  600996  贵广网络          9.56      5.05       4.0
  300695  兆丰股份         80.84      7.99       3.9
  920128  胜业电气         26.00      7.84       3.9
  920075  柏星龙          22.09      7.39       3.9
  002514  *ST宝馨         4.12      5.10       3.8
  603956  威派格           6.20      5.98       3.8
  920475  三友科技         16.45     16.17       3.7
  603108  润达医疗         15.07     10.00       3.7
  301313  凡拓数创         50.94     10.69       3.7
  600831  广电网络          4.39     10.03       3.6
  600640  国脉文化         13.72     -0.72       3.6
  002226  江南化工          6.20      9.93       3.5
  600850  电科数字         22.51     10.02       3.5
  301120  新特电气         24.90     20.00       3.5
  300528  幸福蓝海         17.17      9.43       3.5
  300753  爱朋医疗         27.62      2.26       3.4
  603391  XD力聚热        66.80      6.18       3.4
  920931  无锡鼎邦         12.21      4.36       3.4
  301293  三博脑科         71.99      9.06       3.4
  601222  林洋能源          6.84      9.97       3.4
  000685  中山公用         12.90      5.91       3.4
  301016  雷尔伟          20.93     10.45       3.4
  002845  同兴达          16.13     10.03       3.3
  002927  泰永长征         22.70      5.29       3.2
  600785  新华百货         18.18      3.12       3.2
  300996  普联软件         13.48      6.81       3.2
  002374  中锐股份          3.81     -2.56       3.2
  002881  美格智能         45.65      2.26       3.1
  688039  当虹科技         49.88      7.25       3.1
  603999  读者传媒          7.45     10.04       3.1
  920974  凯大催化          8.14     10.00       3.1
  600496  精工钢构          4.33      7.44       3.1
  300031  宝通科技         26.69      8.06       3.1
  300242  佳云科技          5.34      4.30       3.0
  301379  天山电子         37.66     20.01       3.0
  300637  扬帆新材         12.08      3.07       3.0
  300163  先锋新材          5.54      8.63       3.0
  603859  能科科技         45.30     -0.04       3.0
  300901  中胤时尚         16.51    -14.28       3.0
  300611  美力科技         27.67      9.41       3.0
  601728  中国电信          7.12      4.40       2.9
  600023  浙能电力          6.70      8.94       2.9
  002199  *ST东晶        13.32      0.99       2.9
  002888  惠威科技         24.13     -2.07       2.9
  300212  *ST易录         8.32     15.24       2.9
  601059  信达证券         17.15      2.88       2.9
  603311  金海高科         27.95     10.00       2.9
  300556  丝路视觉         22.44      2.19       2.9
  301459  丰茂股份         40.40      7.16       2.8
  601678  滨化股份          6.19     -3.13       2.8
  003013  地铁设计         14.43      5.02       2.8
  002131  利欧股份          7.40      7.25       2.8
  300473  德尔股份         36.92      8.33       2.8
  601133  柏诚股份         30.27     -2.35       2.8
  301026  浩通科技         32.86      6.03       2.8
  300755  华致酒行         18.02     13.12       2.8
  920679  前进科技         18.70      5.41       2.8
  603279  景津装备         16.18     -5.10       2.7
  603159  上海亚虹         27.37      6.54       2.7
  605318  法狮龙         104.92      7.17       2.7
  600775  南京熊猫         13.29      4.98       2.7
  600775  南京熊猫         13.29      4.98       2.7
  600835  上海机电         25.99      9.99       2.6
  300825  阿尔特          13.15     11.54       2.6
  600888  新疆众和          9.19      8.89       2.6
  002785  万里石          51.48     -8.01       2.6
  301446  福事特          44.57      5.17       2.6
  300365  恒华科技          6.49      6.74       2.6
  300057  万顺新材          9.08     11.14       2.6
  002354  天娱数科          7.13      0.71       2.6
  600992  贵绳股份         12.78     -1.69       2.6
  300349  金卡智能         16.13     13.91       2.6
